,Document directory,Format,Comic_title,Untranslated Title,Source Title,Author,Translator,Author_origin,Author_country (current),Global region,Country,Language,Original Language (Translations),Publisher,Genre ,"Comic ""style""",Audience,Demographic,Publication Date,Pages#,Chapters Qty,Chapter/Issue#,Completed,Description,Website,CCL,Permission,File,Notes,Country again,Title again,Spacer,MAST Notes,Uploaded to MAST,1.1: Panels & Panels,1.2: Characters,1.2.1 Gender,1.3: Carriers,2.1: Framing,2.2: Continuity Annotations,2.2: Continuity Relations,2.3: Motion Events,2.4: ICS,2.5: Character Emotions,2.5.1 Panel Emotions,2.6 Panel Templates,2.7 Panel Borders,2.8 POV,2.9 Onoma,3.1 Situation,3.2 Depth,3.3 Gesture
MS,,Comic magazine,Najdłuższa podróż (Part 3),Najdłuższa podróż (Part 3),Relax #8,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",Superhero,Everyone,,1977,5,1,1,,,,,Private,08_Nr.07 - 1977.pdf,,Poland,Najdłuższa podróż (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Najdłuższa podróż (Part 4),Najdłuższa podróż (Part 4),Relax #9,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",Superhero,Everyone,,1977,5,1,1,,,,,Private,09_Nr.08 - 1977.pdf,,Poland,Najdłuższa podróż (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Najdłuższa podróż (Part 5),Najdłuższa podróż (Part 5),Relax #10,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",Superhero,Everyone,,1977,5,1,1,,,,,Private,10_Nr.09 - 1977.pdf,,Poland,Najdłuższa podróż (Part 5),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Najdłuższa podróż (Part 6),Najdłuższa podróż (Part 6),Relax #11,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",Superhero,Everyone,,1977,5,1,1,,,,,Private,12_Nr.11 - 1977.pdf,,Poland,Najdłuższa podróż (Part 6),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Niezwykłe wakacje. Kto zwycięży? (Part 4),Niezwykłe wakacje. Kto zwycięży? (Part 4),Relax #31,"Zbigniew Wójcicki, Andrzej Sawicki",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Humor, Adventure",Cartoony,Everyone,,1981,5,1,1,,,,,Private,31_Nr.02 - 1981.pdf,,Poland,Niezwykłe wakacje. Kto zwycięży? (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Okno na świat,Okno na świat,Relax #24,"Jerzy Wróblewski, Kozłowska",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Everyone,,1979,5,1,1,,,,,Private,24_Nr.01 - 1979.pdf,,Poland,Okno na świat,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Opowieści nie z tej Ziemi. Papuzia planeta (Part 6),Opowieści nie z tej Ziemi. Papuzia planeta (Part 6),Relax #17,"Stefan Weinfeld, Witold Parzydło",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,Cartoony,Everyone,,1978,5,1,1,,,,,Private,17_Nr.04 - 1978.pdf,,Poland,Opowieści nie z tej Ziemi. Papuzia planeta (Part 6),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Opowieści nie z tej Ziemi. Świat obłąkanych automatów (Part 3),Opowieści nie z tej Ziemi. Świat obłąkanych automatów (Part 3),Relax #14,"Stefan Weinfeld, Witold Parzydło",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,Cartoony,Everyone,,1978,5,1,1,,,,,Private,14_Nr.01 - 1978.pdf,,Poland,Opowieści nie z tej Ziemi. Świat obłąkanych automatów (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Pan Paparura i pies Aj,Pan Paparura i pies Aj,Relax #5,Janusz Christa,,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Humor,Cartoony,Everyone,,1977,5,1,1,,,,,Private,05_Nr.04 - 1977.pdf,,Poland,Pan Paparura i pies Aj,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Pięć kroków wstecz. Wolta (Part 2),Pięć kroków wstecz. Wolta (Part 2),Relax #19,"Marek Syszko, Zofia Chmurowa",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Fantasy",,Everyone,,1978,5,1,1,,,,,Private,19_Nr.06 - 1978.pdf,,Poland,Pięć kroków wstecz. Wolta (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Polacy na Biegunie Połudiowym,Polacy na Biegunie Połudiowym,Relax #12,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1977,5,1,1,,,,,Private,12_Nr.11 - 1977.pdf,,Poland,Polacy na Biegunie Połudiowym,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Rok 1454,Rok 1454,Relax #22,Marek Umański,,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1978,5,1,1,,,,,Private,22_Nr.09 - 1978.pdf,,Poland,Rok 1454,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Ślad wiedzie w przeszłość. Gra rozpoczęta (Part 3),Ślad wiedzie w przeszłość. Gra rozpoczęta (Part 3),Relax #28,"Jerzy Wróblewski, Henryk Jerzy Chmielewski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1980,5,1,1,,,,,Private,28_Nr.02 - 1980.pdf,,Poland,Ślad wiedzie w przeszłość. Gra rozpoczęta (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemnica kipu. Poufne zadanie (Part 1),Tajemnica kipu. Poufne zadanie (Part 1),Relax #23,"Elżbieta Dobrzyńska, Marek Szyszko",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1978,5,1,1,,,,,Private,23_Nr.10 - 1978.pdf,,Poland,Tajemnica kipu. Poufne zadanie (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemniczy rejs. Powrót (Part 5),Tajemniczy rejs. Powrót (Part 5),Relax #23,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,Cartoony,Everyone,,1978,5,1,1,,,,,Private,23_Nr.10 - 1978.pdf,,Poland,Tajemniczy rejs. Powrót (Part 5),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Vahanara. Giną załogi i statki kosmiczne (Part 1),Vahanara. Giną załogi i statki kosmiczne (Part 1),Relax #18,"Jerzy Wróblewski, Mieczysław Derbień",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,,Everyone,,1978,5,1,1,,,,,Private,18_Nr.05 - 1978.pdf,"Based on the novel ""Vahanara"" by Georges Murcie",Poland,Vahanara. Giną załogi i statki kosmiczne (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Vahanara. Wróg przystępuje do akcji (Part 2),Vahanara. Wróg przystępuje do akcji (Part 2),Relax #19,"Jerzy Wróblewski, Mieczysław Derbień",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,,Everyone,,1978,5,1,1,,,,,Private,19_Nr.06 - 1978.pdf,"Based on the novel ""Vahanara"" by Georges Murcie",Poland,Vahanara. Wróg przystępuje do akcji (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,W piaskach Synaju,W piaskach Synaju,Relax #13,"Jerzy Wróblewski, Bartnikowski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1977,5,1,1,,,,,Private,13_Nr.12 - 1977.pdf,,Poland,W piaskach Synaju,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,"Wywiadowca XX wieku. ""Bardzo lubię deszcz"" (Part 1)","Wywiadowca XX wieku. ""Bardzo lubię deszcz"" (Part 1)",Relax #13,"Jerzy Wróblewski, Barbara Sokalówna, Jerzy Uśpieński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,5,1,1,,,,,Private,13_Nr.12 - 1977.pdf,,Poland,"Wywiadowca XX wieku. ""Bardzo lubię deszcz"" (Part 1)",2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Wywiadowca XX wieku. Idziemy na północ (Part 2),Wywiadowca XX wieku. Idziemy na północ (Part 2),Relax #14,"Jerzy Wróblewski, Barbara Sokalówna, Jerzy Uśpieński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1978,5,1,1,,,,,Private,14_Nr.01 - 1978.pdf,,Poland,Wywiadowca XX wieku. Idziemy na północ (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Wywiadowca XX wieku. Kto wygra wielki wyścig (Part 5),Wywiadowca XX wieku. Kto wygra wielki wyścig (Part 5),Relax #17,"Jerzy Wróblewski, Barbara Sokalówna, Jerzy Uśpieński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1978,5,1,1,,,,,Private,17_Nr.04 - 1978.pdf,,Poland,Wywiadowca XX wieku. Kto wygra wielki wyścig (Part 5),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Wywiadowca XX wieku. Największy wyczyn Ramsay'a (Part 3),Wywiadowca XX wieku. Największy wyczyn Ramsay'a (Part 3),Relax #15,"Jerzy Wróblewski, Barbara Sokalówna, Jerzy Uśpieński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1978,5,1,1,,,,,Private,15_Nr.02 - 1978.pdf,,Poland,Wywiadowca XX wieku. Największy wyczyn Ramsay'a (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,508 Alarm!,508 Alarm!,Relax #8,"Jerzy Wróblewski, Knab",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Fact,,Everyone,,1977,6,1,1,,,,,Private,08_Nr.07 - 1977.pdf,,Poland,508 Alarm!,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Bolesławowe słupy,Bolesławowe słupy,Relax #5,"Grzegorz Rosiński, Leszek Moczulski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",Superhero,Everyone,,1977,6,1,1,,,,,Private,05_Nr.04 - 1977.pdf,,Poland,Bolesławowe słupy,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Chcę zostać kapitanem,Chcę zostać kapitanem,Relax #11,"Jerzy Wróblewski, Garncarek",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1977,6,1,1,,,,,Private,12_Nr.11 - 1977.pdf,,Poland,Chcę zostać kapitanem,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,"Czarna róża. Akcja ""Czyste niebo"" (Part 4)","Czarna róża. Akcja ""Czyste niebo"" (Part 4)",Relax #24,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Action, Crime",,Adult,,1979,6,1,1,,,,,Private,24_Nr.01 - 1979.pdf,,Poland,"Czarna róża. Akcja ""Czyste niebo"" (Part 4)",2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Czarna róża. Dzień przed sobotą (Part 5),Czarna róża. Dzień przed sobotą (Part 5),Relax #25,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Action, Crime",,Adult,,1979,6,1,1,,,,,Private,25_Nr.02 - 1979.pdf,,Poland,Czarna róża. Dzień przed sobotą (Part 5),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Czarna róża. Lot w nieznane (Part 1),Czarna róża. Lot w nieznane (Part 1),Relax #21,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Action, Crime",,Adult,,1978,6,1,1,,,,,Private,21_Nr.08 - 1978.pdf,,Poland,Czarna róża. Lot w nieznane (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Czarna róża. Porwanie (Part 3),Czarna róża. Porwanie (Part 3),Relax #23,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Action, Crime",,Adult,,1978,6,1,1,,,,,Private,23_Nr.10 - 1978.pdf,,Poland,Czarna róża. Porwanie (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Czarna róża. Zamach (Part 2),Czarna róża. Zamach (Part 2),Relax #22,"Jerzy Wróblewski, Stefan Weinfeld",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Action, Crime",,Adult,,1978,6,1,1,,,,,Private,22_Nr.09 - 1978.pdf,,Poland,Czarna róża. Zamach (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Czterej na drodze śmierci,Czterej na drodze śmierci,Relax #26,"Jerzy Wróblewski, Wacław Gluth-Nowowiejski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1979,6,1,1,,,,,Private,26_Nr.03 - 1979.pdf,,Poland,Czterej na drodze śmierci,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Do grodu Kraka,Do grodu Kraka,Relax #2,"Szymon Kobyliński, Leszek Moczulski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",Superhero,Everyone,,1976,6,1,1,,,,,Private,02_Nr.01 - 1977.pdf,,Poland,Do grodu Kraka,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Kacyk Taratai (Part 4),Kurs na Półwysep Jork. Kacyk Taratai (Part 4),Relax #30,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1981,6,1,1,,,,,Private,30_Nr.01 - 1981.pdf,,Poland,Kurs na Półwysep Jork. Kacyk Taratai (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Pasażer (Part 1),Kurs na Półwysep Jork. Pasażer (Part 1),Relax #24,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1979,6,1,1,,,,,Private,24_Nr.01 - 1979.pdf,,Poland,Kurs na Półwysep Jork. Pasażer (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Przyjaciel Burui (Part 4),Kurs na Półwysep Jork. Przyjaciel Burui (Part 4),Relax #27,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1980,6,1,1,,,,,Private,27_Nr.01 - 1980.pdf,,Poland,Kurs na Półwysep Jork. Przyjaciel Burui (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Pułapka (Part 2),Kurs na Półwysep Jork. Pułapka (Part 2),Relax #25,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1979,6,1,1,,,,,Private,25_Nr.02 - 1979.pdf,,Poland,Kurs na Półwysep Jork. Pułapka (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Stalowa skrzynia (Part 2),Kurs na Półwysep Jork. Stalowa skrzynia (Part 2),Relax #28,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1980,6,1,1,,,,,Private,28_Nr.02 - 1980.pdf,,Poland,Kurs na Półwysep Jork. Stalowa skrzynia (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. W kraterze UrUnited Kingdomora (Part 3),Kurs na Półwysep Jork. W kraterze UrUnited Kingdomora (Part 3),Relax #26,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1979,6,1,1,,,,,Private,26_Nr.03 - 1979.pdf,,Poland,Kurs na Półwysep Jork. W kraterze UrUnited Kingdomora (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kurs na Półwysep Jork. Złoty posąg (Part 3),Kurs na Półwysep Jork. Złoty posąg (Part 3),Relax #29,"Janusz Christa, Adam Kołodziejczyk",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1980,6,1,1,,,,,Private,29_Nr.03 - 1980.pdf,,Poland,Kurs na Półwysep Jork. Złoty posąg (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Ludziom trzeba wierzyć,Ludziom trzeba wierzyć,Relax #10,"Jerzy Wróblewski, Cezary Chlebowski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,6,1,1,,,,,Private,10_Nr.09 - 1977.pdf,,Poland,Ludziom trzeba wierzyć,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Na surowym korzeniu,Na surowym korzeniu,Relax #10,"Marek Szyszko, Leszek Moczulski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History,Adventure",,Everyone,,1977,6,1,1,,,,,Private,10_Nr.09 - 1977.pdf,,Poland,Na surowym korzeniu,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Najdłuższa podróż (Part 1),Najdłuższa podróż (Part 1),Relax #6,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",Superhero,Everyone,,1977,6,1,1,,,,,Private,06_Nr.05 - 1977.pdf,,Poland,Najdłuższa podróż (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Najdłuższa podróż (Part 2),Najdłuższa podróż (Part 2),Relax #7,"Rian Asars (Andrzej Sawicki, Ryszard Siwanowicz), Grzegorz Rosiński",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","Science Fiction, Adventure",,Everyone,,1977,6,1,1,,,,,Private,07_Nr.06 - 1977.pdf,,Poland,Najdłuższa podróż (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Opowieści nie z tej Ziemi. Na tropie trójnożnych (Part 2),Opowieści nie z tej Ziemi. Na tropie trójnożnych (Part 2),Relax #13,"Stefan Weinfeld, Witold Parzydło",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,Cartoony,Everyone,,1977,6,1,1,,,,,Private,13_Nr.12 - 1977.pdf,,Poland,Opowieści nie z tej Ziemi. Na tropie trójnożnych (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,"Opowieści nie z tej Ziemi. Nie był kosmitą, a jednak... (Part 5)","Opowieści nie z tej Ziemi. Nie był kosmitą, a jednak... (Part 5)",Relax #16,"Stefan Weinfeld, Witold Parzydło",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,Cartoony,Everyone,,1978,6,1,1,,,,,Private,16_Nr.03 - 1978.pdf,,Poland,"Opowieści nie z tej Ziemi. Nie był kosmitą, a jednak... (Part 5)",2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Opowieści nie z tej Ziemi. Odkrycie X.Y.Z. (Part 1),Opowieści nie z tej Ziemi. Odkrycie X.Y.Z. (Part 1),Relax #12,"Stefan Weinfeld, Witold Parzydło",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,Cartoony,Everyone,,1977,6,1,1,,,,,Private,12_Nr.11 - 1977.pdf,,Poland,Opowieści nie z tej Ziemi. Odkrycie X.Y.Z. (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Rzeczpospolita gruzów,Rzeczpospolita gruzów,Relax #25,"Jerzy Wróblewski, Wacław Gluth-Nowowiejski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Everyone,,1979,6,1,1,,,,,Private,25_Nr.02 - 1979.pdf,,Poland,Rzeczpospolita gruzów,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Skrzydła,Skrzydła,Relax #9,"Bogusław Pawłowski, Janusz Osęka",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Humor,Cartoony,Everyone,,1977,6,1,1,,,,,Private,09_Nr.08 - 1977.pdf,,Poland,Skrzydła,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Ślad wiedzie w przeszłość. Dziwni turyści (Part 2),Ślad wiedzie w przeszłość. Dziwni turyści (Part 2),Relax #27,"Jerzy Wróblewski, Henryk Jerzy Chmielewski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1979,6,1,1,,,,,Private,27_Nr.01 - 1980.pdf,,Poland,Ślad wiedzie w przeszłość. Dziwni turyści (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Ślad wiedzie w przeszłość. Podejrzenia (Part 1),Ślad wiedzie w przeszłość. Podejrzenia (Part 1),Relax #26,"Jerzy Wróblewski, Henryk Jerzy Chmielewski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1979,6,1,1,,,,,Private,26_Nr.03 - 1979.pdf,,Poland,Ślad wiedzie w przeszłość. Podejrzenia (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Ślad wiedzie w przeszłość. Tajemnica uroczyska w Ostrowie (Part 4),Ślad wiedzie w przeszłość. Tajemnica uroczyska w Ostrowie (Part 4),Relax #29,"Jerzy Wróblewski, Henryk Jerzy Chmielewski",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Adventure,,Everyone,,1980,6,1,1,,,,,Private,29_Nr.03 - 1980.pdf,,Poland,Ślad wiedzie w przeszłość. Tajemnica uroczyska w Ostrowie (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemnica kipu. Czarny cień (Part 5),Tajemnica kipu. Czarny cień (Part 5),Relax #27,"Elżbieta Dobrzyńska, Marek Szyszko",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1980,6,1,1,,,,,Private,27_Nr.01 - 1980.pdf,,Poland,Tajemnica kipu. Czarny cień (Part 5),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemnica kipu. Droga (Part 2),Tajemnica kipu. Droga (Part 2),Relax #24,"Elżbieta Dobrzyńska, Marek Szyszko",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1979,6,1,1,,,,,Private,24_Nr.01 - 1979.pdf,,Poland,Tajemnica kipu. Droga (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemnica kipu. Dziwny testament (Part 6),Tajemnica kipu. Dziwny testament (Part 6),Relax #28,"Elżbieta Dobrzyńska, Marek Szyszko",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1980,6,1,1,,,,,Private,28_Nr.02 - 1980.pdf,,Poland,Tajemnica kipu. Dziwny testament (Part 6),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Tajemnica kipu. Skarby Inków (Part 4),Tajemnica kipu. Skarby Inków (Part 4),Relax #26,"Elżbieta Dobrzyńska, Marek Szyszko",,Poland,Poland,Europe,Poland,Polish,,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1979,6,1,1,,,,,Private,26_Nr.03 - 1979.pdf,,Poland,Tajemnica kipu. Skarby Inków (Part 4),2,,,,,,,,,,,,,,,,,,,,
